"","collection_no","siteID","bin_assignment","lat","lng"
"1",11890,7391,"teyep",50.741,-111.529
"2",11892,7392,"teyep",50.753,-111.462
"3",11893,7391,"teyep",50.737,-111.549
"4",11894,7391,"teyep",50.737,-111.529
"5",11895,7391,"teyep",50.724,-111.565
"6",11896,7391,"teyep",50.74,-111.525
"7",11897,7391,"teyep",50.787,-111.601
"8",11898,7057,"teyen",51.805,-112.982
"9",11899,7057,"teyeo",51.819,-112.982
"10",11900,7057,"teyeo",51.543,-112.819
"11",11901,7223,"teyeo",51.47,-112.842
"12",11902,7223,"teyeo",51.441,-112.702
"13",11903,7891,"teyeq",49.084,-110.682
"14",11904,7391,"teyeq",50.742,-111.512
"15",11915,7392,"teyeq",50.752,-111.485
"16",11916,7057,"teyeo",51.928,-112.935
"17",11917,7056,"teyen",51.906,-113.029
"18",11918,7056,"teyen",51.933,-113.233
"19",11919,7391,"teyeq",50.77,-111.53
"20",11931,8397,"teyen",47.638,-106.57
"21",12584,12213,"teyep",36.06,-107.966
"22",12977,8398,"teyen",47.696,-106.228
"23",13000,12380,"teyeq",35.7,-107.2
"24",13142,8398,"teyen",47.8,-106.1
"25",13281,8386,"teyeq",47.812,-112.183
"26",13282,8386,"teyeq",47.812,-112.183
"27",13294,11210,"teyeo",39.267,-111.254
"28",13339,7391,"teyep",50.742,-111.566
"29",13340,7391,"teyeq",50.73,-111.8
"30",14409,11705,"teyeq",37.7,-113
"31",14410,11705,"teyeq",37.7,-113
"32",14412,11870,"teyeq",37.5,-113.5
"33",14413,11870,"teyeq",37.5,-113.5
"34",14421,11705,"teyeq",37.592,-112.899
"35",14429,11708,"teyeq",37.6,-111.35
"36",14430,11705,"teyeq",37.593,-112.884
"37",14431,9723,"teyeq",44,-108
"38",14432,8389,"teyep",47.7,-110.7
"39",14433,9890,"teyeq",43.2,-107.1
"40",14434,8890,"teyep",46.42,-109.27
"41",14435,8057,"teyep",48.917,-110.583
"42",14436,12212,"teyep",36.3,-108.2
"43",14437,8890,"teyep",46.46,-109.41
"44",14439,9557,"teyeq",44.103,-107.757
"45",14440,9557,"teyeq",44.103,-107.757
"46",14445,8059,"teyep",48.567,-109.683
"47",14446,8391,"teyep",47.808,-109.59
"48",14447,8391,"teyep",47.794,-109.568
"49",14448,8057,"teyep",48.933,-110.583
"50",14449,8057,"teyep",48.983,-110.517
"51",14450,8057,"teyep",48.933,-110.583
"52",14451,7394,"teyeq",50.78,-110.5
"53",14452,8057,"teyep",48.933,-110.567
"54",14453,8385,"teyeq",47.821,-112.664
"55",14457,8890,"teyep",46.1,-109.1
"56",14458,10056,"teyeq",42.854,-107.278
"57",14459,8059,"teyep",48.567,-109.7
"58",14460,8057,"teyep",48.933,-110.633
"59",14461,8059,"teyep",48.567,-109.7
