"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"24105",0,0,0,1,NA,NA,NA,NA,NA,NA
"24106",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24935",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24939",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25765",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28252",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"28256",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"138060",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147275",0,0,0,0,NA,NA,NA,NA,NA,NA
"148082",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148921",0,0,0,NA,NA,NA,NA,NA,NA,NA
"148925",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"148926",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148927",0,0,0,0,NA,NA,NA,NA,NA,NA
"148929",0,1,0,0,NA,NA,NA,NA,NA,NA
"148931",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148933",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149755",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149756",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"151411",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153075",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"156437",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170609",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"173891",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174721",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178089",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178897",1,1,1,0,0,NA,NA,NA,NA,NA
"183032",0,0,0,0,NA,NA,NA,NA,NA,NA
"183862",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183863",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183864",1,0,0,0,0,1,0,0,0,0
"183865",1,1,0,0,1,0,0,0,0,0
"183867",0,0,1,1,1,1,0,NA,NA,NA
"183868",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183869",1,0,0,NA,NA,NA,NA,NA,NA,NA
"184692",0,1,1,NA,NA,NA,NA,NA,NA,NA
"184694",0,0,1,0,1,0,0,0,0,0
"184695",0,1,0,0,1,0,0,0,1,0
"184696",0,1,1,0,0,0,1,0,0,0
"184697",0,0,1,0,1,0,1,0,0,1
"184706",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184709",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184710",1,1,1,1,0,NA,NA,NA,NA,NA
"185524",1,0,1,0,0,0,0,0,0,0
"185526",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185531",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186353",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186354",1,0,0,0,0,0,NA,NA,NA,NA
"186355",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186356",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187187",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187189",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187190",0,0,0,1,0,NA,NA,NA,NA,NA
"187197",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"187198",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189673",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189674",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190509",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190513",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191334",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191336",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"191347",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191348",0,0,1,NA,NA,NA,NA,NA,NA,NA
"192164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192977",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192994",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194523",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194628",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194657",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194661",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195487",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195492",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196325",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"197135",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"197138",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"197139",0,0,0,0,0,0,0,NA,NA,NA
